,away_cap,away_last_season_conferenceHomeRank,away_last_season_conferenceL10Rank,away_last_season_conferenceRank,away_last_season_conferenceRoadRank,away_last_season_divisionHomeRank,away_last_season_divisionL10Rank,away_last_season_divisionRank,away_last_season_divisionRoadRank,away_last_season_gamesPlayed,away_last_season_goalsAgainst,away_last_season_goalsScored,away_last_season_leagueHomeRank,away_last_season_leagueL10Rank,away_last_season_leagueRank,away_last_season_leagueRecord.losses,away_last_season_leagueRecord.ot,away_last_season_leagueRecord.wins,away_last_season_leagueRoadRank,away_last_season_points,away_last_season_pointsPercentage,away_last_season_ppConferenceRank,away_last_season_ppDivisionRank,away_last_season_ppLeagueRank,away_last_season_row,away_last_season_streak.streakNumber,away_last_season_team.id,away_last_season_wildCardRank,away_lost,away_won,home_cap,home_last_season_conferenceHomeRank,home_last_season_conferenceL10Rank,home_last_season_conferenceRank,home_last_season_conferenceRoadRank,home_last_season_divisionHomeRank,home_last_season_divisionL10Rank,home_last_season_divisionRank,home_last_season_divisionRoadRank,home_last_season_gamesPlayed,home_last_season_goalsAgainst,home_last_season_goalsScored,home_last_season_leagueHomeRank,home_last_season_leagueL10Rank,home_last_season_leagueRank,home_last_season_leagueRecord.losses,home_last_season_leagueRecord.ot,home_last_season_leagueRecord.wins,home_last_season_leagueRoadRank,home_last_season_points,home_last_season_pointsPercentage,home_last_season_ppConferenceRank,home_last_season_ppDivisionRank,home_last_season_ppLeagueRank,home_last_season_row,home_last_season_streak.streakNumber,home_last_season_team.id,home_last_season_wildCardRank,home_lost,home_won,outcome_categorical
20171006_173713,72821399.0,10.0,7.0,8.0,7.0,4.0,4.0,4.0,4.0,82.0,242.0,251.0,18.0,11.0,14.0,27.0,15.0,40.0,12.0,95.0,0.5792682926829268,8.0,4.0,14.0,39.0,1.0,10.0,2.0,0.0,0.0,66630635.0,11.0,3.0,9.0,8.0,6.0,1.0,5.0,4.0,82.0,256.0,249.0,24.0,5.0,20.0,35.0,7.0,40.0,18.0,87.0,0.5304878048780488,9.0,5.0,20.0,37.0,7.0,52.0,3.0,0.0,0.0,away
20171008_080732,71891679.0,7.0,4.0,5.0,4.0,4.0,2.0,3.0,3.0,82.0,218.0,235.0,12.0,6.0,10.0,29.0,7.0,46.0,9.0,99.0,0.6036585365853658,6.0,3.0,11.0,44.0,3.0,19.0,0.0,0.0,0.0,77649912.0,2.0,10.0,2.0,8.0,2.0,5.0,2.0,4.0,82.0,234.0,282.0,2.0,18.0,2.0,21.0,11.0,50.0,13.0,111.0,0.676829268292683,2.0,2.0,2.0,46.0,2.0,5.0,0.0,0.0,0.0,away
20171008_080734,73824956.0,9.0,11.0,7.0,5.0,4.0,5.0,4.0,2.0,82.0,221.0,226.0,19.0,24.0,15.0,33.0,4.0,45.0,10.0,94.0,0.573170731707317,8.0,4.0,17.0,41.0,1.0,20.0,1.0,0.0,0.0,68534176.0,6.0,2.0,4.0,3.0,3.0,2.0,2.0,1.0,82.0,212.0,247.0,10.0,3.0,8.0,26.0,9.0,47.0,7.0,103.0,0.6280487804878049,4.0,2.0,7.0,43.0,3.0,22.0,0.0,0.0,0.0,home
20171008_160734,73546558.0,4.0,4.0,11.0,14.0,4.0,3.0,6.0,7.0,82.0,236.0,219.0,9.0,8.0,19.0,33.0,10.0,39.0,24.0,88.0,0.5365853658536586,11.0,6.0,19.0,32.0,1.0,4.0,5.0,0.0,0.0,73286670.0,3.0,12.0,6.0,6.0,2.0,6.0,3.0,3.0,82.0,201.0,221.0,6.0,26.0,11.0,29.0,7.0,46.0,15.0,99.0,0.6036585365853658,5.0,3.0,10.0,44.0,1.0,28.0,0.0,0.0,0.0,away
20171009_153739,69429301.0,5.0,6.0,8.0,10.0,3.0,4.0,4.0,5.0,82.0,224.0,240.0,8.0,13.0,16.0,29.0,12.0,41.0,21.0,94.0,0.573170731707317,7.0,4.0,15.0,39.0,1.0,18.0,2.0,0.0,0.0,69972306.0,11.0,5.0,7.0,5.0,5.0,2.0,3.0,2.0,82.0,212.0,234.0,21.0,9.0,13.0,31.0,7.0,44.0,8.0,95.0,0.5792682926829268,7.0,3.0,13.0,42.0,1.0,6.0,0.0,0.0,0.0,home
20171008_170720,72579037.0,5.0,6.0,4.0,4.0,1.0,3.0,1.0,1.0,82.0,200.0,226.0,11.0,10.0,7.0,26.0,9.0,47.0,6.0,103.0,0.6280487804878049,4.0,1.0,8.0,44.0,1.0,8.0,0.0,0.0,-1.0,71677209.0,13.0,14.0,15.0,15.0,6.0,8.0,8.0,8.0,82.0,237.0,201.0,23.0,25.0,26.0,37.0,12.0,33.0,25.0,78.0,0.4756097560975609,15.0,8.0,26.0,31.0,2.0,7.0,9.0,-1.0,0.0,away
20171009_160746,72090269.0,14.0,13.0,14.0,14.0,7.0,7.0,7.0,7.0,82.0,278.0,166.0,30.0,28.0,30.0,56.0,4.0,22.0,30.0,48.0,0.2926829268292683,14.0,7.0,30.0,21.0,1.0,21.0,8.0,0.0,0.0,71752556.0,12.0,12.0,5.0,1.0,7.0,6.0,4.0,1.0,82.0,220.0,256.0,22.0,22.0,9.0,28.0,6.0,48.0,1.0,102.0,0.6219512195121951,5.0,4.0,9.0,45.0,1.0,3.0,1.0,0.0,0.0,away
20171009_220745,72967796.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,82.0,182.0,263.0,1.0,4.0,1.0,19.0,8.0,55.0,3.0,118.0,0.7195121951219512,1.0,1.0,1.0,53.0,1.0,15.0,0.0,0.0,-1.0,69252320.0,7.0,11.0,6.0,6.0,2.0,6.0,2.0,3.0,82.0,214.0,212.0,14.0,19.0,12.0,28.0,10.0,44.0,11.0,98.0,0.5975609756097561,6.0,2.0,12.0,38.0,1.0,9.0,0.0,-1.0,0.0,away
20171008_123724,72702142.0,4.0,5.0,2.0,2.0,2.0,3.0,2.0,2.0,82.0,208.0,266.0,7.0,12.0,5.0,25.0,8.0,49.0,5.0,106.0,0.6463414634146342,2.0,2.0,5.0,46.0,4.0,30.0,0.0,0.0,0.0,78458260.0,15.0,9.0,14.0,12.0,8.0,5.0,7.0,7.0,82.0,244.0,207.0,28.0,17.0,25.0,36.0,13.0,33.0,22.0,79.0,0.4817073170731707,14.0,7.0,25.0,24.0,1.0,17.0,8.0,0.0,0.0,home
20171009_173752,77649912.0,2.0,10.0,2.0,8.0,2.0,5.0,2.0,4.0,82.0,234.0,282.0,2.0,18.0,2.0,21.0,11.0,50.0,13.0,111.0,0.676829268292683,2.0,2.0,2.0,46.0,2.0,5.0,0.0,1.0,0.0,72989072.0,2.0,9.0,1.0,1.0,1.0,6.0,1.0,1.0,82.0,213.0,244.0,5.0,20.0,3.0,23.0,9.0,50.0,2.0,109.0,0.6646341463414634,1.0,1.0,3.0,46.0,1.0,16.0,0.0,0.0,0.0,home
20171009_180755,75286038.0,13.0,10.0,12.0,12.0,7.0,4.0,6.0,6.0,82.0,260.0,197.0,27.0,21.0,28.0,42.0,10.0,30.0,28.0,70.0,0.4268292682926829,12.0,6.0,27.0,24.0,1.0,53.0,6.0,0.0,0.0,76957176.0,1.0,1.0,3.0,7.0,1.0,1.0,1.0,4.0,82.0,200.0,223.0,3.0,1.0,6.0,23.0,13.0,46.0,17.0,105.0,0.6402439024390244,3.0,1.0,6.0,43.0,4.0,24.0,0.0,0.0,0.0,home
20171006_234724,73546558.0,4.0,4.0,11.0,14.0,4.0,3.0,6.0,7.0,82.0,236.0,219.0,9.0,8.0,19.0,33.0,10.0,39.0,24.0,88.0,0.5365853658536586,11.0,6.0,19.0,32.0,1.0,4.0,5.0,0.0,1.0,72501361.0,10.0,7.0,10.0,9.0,5.0,3.0,5.0,5.0,82.0,205.0,201.0,20.0,14.0,22.0,35.0,8.0,39.0,20.0,86.0,0.524390243902439,10.0,5.0,22.0,37.0,1.0,26.0,4.0,0.0,0.0,home
20171008_123713,71770356.0,8.0,3.0,9.0,10.0,6.0,2.0,5.0,5.0,82.0,242.0,241.0,15.0,7.0,17.0,29.0,12.0,41.0,16.0,94.0,0.573170731707317,9.0,5.0,16.0,39.0,6.0,2.0,3.0,0.0,0.0,71408979.0,3.0,15.0,3.0,3.0,3.0,7.0,3.0,3.0,82.0,195.0,249.0,4.0,27.0,4.0,24.0,8.0,50.0,4.0,108.0,0.6585365853658537,3.0,3.0,4.0,48.0,1.0,29.0,0.0,0.0,0.0,home
20171010_230737,64075585.0,14.0,13.0,13.0,11.0,7.0,7.0,6.0,6.0,82.0,237.0,210.0,26.0,23.0,23.0,36.0,11.0,35.0,19.0,81.0,0.4939024390243902,13.0,6.0,23.0,30.0,2.0,13.0,7.0,0.0,0.0,71604944.0,9.0,1.0,10.0,9.0,3.0,1.0,5.0,5.0,82.0,227.0,234.0,17.0,2.0,18.0,30.0,10.0,42.0,14.0,94.0,0.573170731707317,10.0,5.0,18.0,38.0,3.0,14.0,4.0,0.0,0.0,home
20171010_223738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,70101967.0,8.0,8.0,11.0,11.0,5.0,5.0,6.0,6.0,82.0,262.0,223.0,16.0,15.0,24.0,37.0,11.0,34.0,27.0,79.0,0.4817073170731707,11.0,6.0,24.0,33.0,1.0,25.0,5.0,0.0,0.0,away
20171010_150717,71752556.0,12.0,12.0,5.0,1.0,7.0,6.0,4.0,1.0,82.0,220.0,256.0,22.0,22.0,9.0,28.0,6.0,48.0,1.0,102.0,0.6219512195121951,5.0,4.0,9.0,45.0,1.0,3.0,1.0,2.0,0.0,72821399.0,10.0,7.0,8.0,7.0,4.0,4.0,4.0,4.0,82.0,242.0,251.0,18.0,11.0,14.0,27.0,15.0,40.0,12.0,95.0,0.5792682926829268,8.0,4.0,14.0,39.0,1.0,10.0,2.0,0.0,1.0,home
20171011_170728,78458260.0,15.0,9.0,14.0,12.0,8.0,5.0,7.0,7.0,82.0,244.0,207.0,28.0,17.0,25.0,36.0,13.0,33.0,22.0,79.0,0.4817073170731707,14.0,7.0,25.0,24.0,1.0,17.0,8.0,0.0,0.0,69252320.0,7.0,11.0,6.0,6.0,2.0,6.0,2.0,3.0,82.0,214.0,212.0,14.0,19.0,12.0,28.0,10.0,44.0,11.0,98.0,0.5975609756097561,6.0,2.0,12.0,38.0,1.0,9.0,0.0,-1.0,0.0,away
